
2024/09/08 (07:45:09) | ===> btop++ v.1.3.2
2024/09/08 (07:45:09) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/09/28 (17:07:28) | ===> btop++ v.1.4.0
2024/09/28 (17:07:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (15:26:19) | ===> btop++ v.1.4.0
2024/09/30 (15:26:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (06:52:05) | ===> btop++ v.1.4.0
2024/10/04 (06:52:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (21:16:13) | ===> btop++ v.1.4.0
2024/10/20 (21:16:13) | WARNING: Intel GPU: Failed to initialize PMU
